Time microphone-A_pFluct microphone-B_pFluct microphone-C_pFluct 
0.00222 -27.103 -25.0349 -16.8672 
0.00223 -27.7881 -24.591 -15.959 
0.00224 -26.6383 -23.9061 -15.703 
0.00225 -26.6363 -24.4019 -16.3207 
0.00226 -26.6059 -24.4661 -16.4159 
0.00227 -26.2843 -23.1607 -14.9582 
0.00228 -26.8647 -23.8939 -15.5692 
0.00229 -25.8785 -23.7048 -15.8452 
0.0023 -25.1689 -22.8659 -15.1692 
0.00231 -25.5118 -22.5849 -14.6413 
0.00232 -26.5474 -23.1337 -14.7867 
0.00233 -25.1653 -22.8099 -15.1005 
0.00234 -24.9824 -22.5073 -14.8186 
0.00235 -25.0188 -22.3105 -14.5546 
0.00236 -25.5064 -22.3492 -14.3496 
0.00237 -24.7466 -22.078 -14.4061 
0.00238 -23.5249 -20.7071 -13.3337 
0.00239 -24.244 -21.4836 -13.9266 
0.0024 -24.2094 -21.8437 -14.3925 
0.00241 -24.2421 -20.4899 -12.6908 
0.00242 -23.7675 -20.6546 -13.1417 
0.00243 -22.937 -20.8835 -13.8571 
0.00244 -23.5074 -20.0148 -12.4801 
0.00245 -22.6277 -19.8183 -12.6918 
0.00246 -23.2288 -20.4088 -13.1145 
0.00247 -22.134 -19.4199 -12.4518 
0.00248 -22.4025 -19.3431 -12.2167 
0.00249 -22.0339 -19.1721 -12.195 
0.0025 -22.6283 -19.5811 -12.3954 
0.00251 -21.4755 -18.1422 -11.2029 
0.00252 -20.9723 -18.457 -11.8555 
0.00253 -21.2951 -18.4903 -11.7293 
0.00254 -21.6334 -18.1767 -11.1635 
0.00255 -20.3903 -17.6961 -11.2103 
0.00256 -20.4331 -17.2722 -10.6605 
0.00257 -20.1312 -17.3804 -10.9516 
0.00258 -19.656 -16.8209 -10.5017 
0.00259 -21.1451 -17.3986 -10.448 
0.0026 -17.7353 -15.4847 -9.83535 
0.00261 -19.7039 -17.2117 -10.9629 
0.00262 -19.3738 -16.1452 -9.807 
0.00263 -19.1025 -15.4922 -9.13507 
0.00264 -18.8111 -16.2251 -10.1981 
0.00265 -18.008 -15.3819 -9.56551 
0.00266 -18.2621 -14.6406 -8.51121 
0.00267 -17.8918 -15.2042 -9.40463 
0.00268 -17.7058 -14.3636 -8.45498 
0.00269 -17.17 -14.5533 -8.96902 
0.0027 -16.0728 -13.6606 -8.42732 
0.00271 -17.948 -14.6527 -8.68894 
0.00272 -16.6762 -13.2318 -7.58058 
0.00273 -16.563 -13.8181 -8.36885 
0.00274 -15.8342 -13.2365 -8.02317 
0.00275 -15.9028 -12.8484 -7.50476 
0.00276 -15.2763 -12.6521 -7.58544 
0.00277 -16.0736 -12.1298 -6.52196 
0.00278 -14.6604 -12.4133 -7.60789 
0.00279 -14.0362 -11.5285 -6.8307 
0.0028 -14.5589 -12.1332 -7.31196 
0.00281 -14.3855 -11.0137 -6.00887 
0.00282 -14.5294 -11.8127 -6.9285 
0.00283 -12.6233 -10.562 -6.36107 
0.00284 -13.152 -9.71939 -5.03833 
0.00285 -13.0891 -11.254 -6.9805 
0.00286 -13.6113 -10.2968 -5.51856 
0.00287 -11.7812 -9.33478 -5.27094 
0.00288 -12.3284 -9.6979 -5.43894 
0.00289 -11.8386 -9.47157 -5.41146 
0.0029 -12.0321 -8.99234 -4.71484 
0.00291 -11.2273 -9.02271 -5.17017 
0.00292 -11.205 -8.77267 -4.87064 
0.00293 -10.1496 -8.20933 -4.71721 
0.00294 -10.8074 -8.77086 -5.07471 
0.00295 -11.0419 -7.52511 -3.40307 
0.00296 -10.2726 -7.44425 -3.70164 
0.00297 -8.46252 -6.54842 -3.52606 
0.00298 -9.78429 -7.52925 -4.0609 
0.00299 -8.98703 -6.76841 -3.52785 
0.003 -9.33859 -6.76987 -3.34737 
0.00301 -9.47329 -6.43271 -2.85809 
0.00302 -7.19581 -5.6281 -3.0385 
0.00303 -7.45145 -5.66638 -2.95358 
0.00304 -9.04739 -5.96799 -2.50105 
0.00305 -7.05141 -5.20635 -2.58892 
0.00306 -8.08764 -5.42166 -2.31938 
0.00307 -6.16713 -4.42618 -2.07712 
0.00308 -6.37181 -4.21418 -1.70726 
0.00309 -6.81015 -4.68924 -2.07112 
0.0031 -5.9326 -4.24931 -1.97907 
0.00311 -5.63377 -3.34227 -1.00559 
0.00312 -6.12287 -3.9337 -1.48793 
0.00313 -4.64696 -2.60179 -0.596432 
0.00314 -5.63093 -4.13431 -1.99305 
0.00315 -4.12589 -2.13177 -0.282154 
0.00316 -4.53426 -2.36053 -0.355123 
0.00317 -4.71594 -2.74042 -0.733746 
0.00318 -2.78706 -1.25639 0.112051 
0.00319 -4.39046 -2.63523 -0.772028 
0.0032 -3.10533 -1.46083 0.0224594 
0.00321 -2.06761 -0.49495 0.685807 
0.00322 -3.84396 -1.85223 -0.0817401 
0.00323 -2.51643 -0.819721 0.514163 
0.00324 -2.42904 -1.26067 -0.0800051 
0.00325 -2.25201 -0.323593 0.993996 
0.00326 -1.46138 -0.100393 0.86138 
0.00327 -0.842943 1.16996 2.12106 
0.00328 -1.11626 -0.214913 0.539438 
0.00329 -0.782321 0.392517 1.12187 
0.0033 -0.16058 1.14902 1.74047 
0.00331 -0.653199 1.01061 1.8236 
0.00332 0.0937556 0.932337 1.33851 
0.00333 0.387482 1.16495 1.4754 
0.00334 0.281382 1.88871 2.43084 
0.00335 1.60361 2.66963 2.71638 
0.00336 1.08667 2.6584 2.97036 
0.00337 -0.158534 1.06461 1.63293 
0.00338 2.41396 3.0236 2.73579 
0.00339 1.55091 2.21812 2.18105 
0.0034 2.11615 3.81682 3.87688 
0.00341 2.98559 3.63748 3.20245 
0.00342 3.22994 3.51236 2.91979 
0.00343 1.84797 2.50708 2.38564 
0.00344 3.73564 4.94453 4.4391 
0.00345 3.24623 4.35802 3.96292 
0.00346 3.78525 4.29302 3.60217 
0.00347 4.31751 4.22145 3.2368 
0.00348 4.35743 5.25576 4.50288 
0.00349 4.88666 5.34199 4.33537 
0.0035 4.53838 5.77321 5.05237 
0.00351 4.94561 5.14032 4.05333 
0.00352 5.30363 5.85373 4.75506 
0.00353 4.67851 4.91418 3.91004 
0.00354 7.06755 7.28972 5.62635 
0.00355 5.6997 6.41977 5.25319 
0.00356 6.52183 6.62958 5.08749 
0.00357 6.70812 6.3471 4.63913 
0.00358 6.2398 6.9174 5.59147 
0.00359 7.14541 7.43541 5.76596 
0.0036 7.24956 7.47225 5.75749 
0.00361 7.39573 7.49229 5.70634 
0.00362 7.72857 7.50861 5.55373 
0.00363 8.64432 8.37797 6.16016 
0.00364 8.22634 8.52558 6.5604 
0.00365 8.96979 9.03222 6.80484 
0.00366 7.96245 7.67229 5.63497 
0.00367 10.3392 9.46058 6.62691 
0.00368 7.91331 8.31405 6.45851 
0.00369 10.644 10.8869 8.243 
0.0037 9.35741 8.5377 5.98703 
0.00371 9.90584 8.93757 6.19986 
0.00372 10.3381 10.3177 7.69271 
0.00373 11.1531 10.841 7.92068 
0.00374 9.40623 9.77988 7.50625 
0.00375 10.8052 10.3213 7.45392 
0.00376 11.8468 10.5388 7.18397 
0.00377 11.8487 10.8936 7.62418 
0.00378 11.7311 11.0359 7.86197 
0.00379 12.1151 12.0443 8.91717 
0.0038 11.6525 10.912 7.74795 
0.00381 12.4251 10.9904 7.4444 
0.00382 12.8989 12.0555 8.52369 
0.00383 12.8806 12.4212 8.98793 
0.00384 13.1339 12.6669 9.16186 
0.00385 12.667 11.6777 8.17289 
0.00386 14.0001 11.9727 7.84817 
0.00387 14.2787 13.2584 9.30315 
0.00388 14.3174 13.2654 9.2915 
0.00389 13.8119 12.6382 8.77303 
0.0039 14.1898 13.6884 9.88338 
0.00391 14.9539 13.1621 8.83184 
0.00392 15.1553 13.847 9.57922 
0.00393 14.7477 13.6265 9.51604 
0.00394 14.3995 13.9022 10.0395 
0.00395 16.0707 14.4512 9.85525 
0.00396 15.3739 12.7819 8.13931 
0.00397 17.0573 15.2443 10.3298 
0.00398 15.5681 15.0887 10.9084 
0.00399 16.9036 16.0982 11.4713 
0.004 16.383 13.6946 8.75026 
0.00401 17.6043 15.1039 9.86996 
0.00402 15.8596 14.9367 10.5668 
0.00403 16.7516 15.7862 11.1607 
0.00404 17.3425 15.6414 10.6737 
0.00405 18.1756 15.5803 10.1652 
0.00406 18.0499 16.1584 10.9494 
0.00407 17.7253 15.5576 10.3699 
0.00408 18.4703 16.7926 11.5199 
0.00409 18.7177 16.6545 11.2193 
0.0041 19.3006 16.5813 10.8255 
0.00411 18.9084 16.6873 11.1606 
0.00412 18.0979 16.1863 10.9574 
0.00413 20.3315 17.9353 11.9747 
0.00414 18.7763 16.9061 11.5004 
0.00415 20.6651 17.9959 11.8764 
0.00416 19.9126 17.6537 11.8406 
0.00417 19.8274 17.4041 11.5738 
0.00418 19.7009 17.2378 11.4322 
0.00419 20.3298 17.9665 12.0124 
0.0042 21.3174 18.5181 12.1861 
0.00421 21.3686 18.6605 12.3365 
0.00422 20.5414 17.6472 11.5043 
0.00423 20.6243 18.2561 12.2187 
0.00424 23.4157 19.8044 12.6969 
0.00425 21.5089 18.6546 12.255 
0.00426 21.2421 18.7646 12.53 
0.00427 21.5093 18.908 12.5696 
0.00428 22.7048 18.8627 11.8927 
0.00429 23.2781 19.8815 12.8627 
0.0043 22.7267 19.6769 12.8939 
0.00431 22.9561 20.1728 13.3915 
0.00432 22.2354 19.1226 12.4584 
0.00433 23.1692 19.5786 12.5411 
0.00434 23.6082 20.4229 13.3636 
0.00435 24.1591 20.4544 13.1167 
0.00436 23.2942 20.1744 13.2167 
0.00437 24.0312 20.5095 13.2509 
0.00438 24.8285 21.0043 13.4528 
0.00439 24.5108 20.8485 13.4234 
0.0044 24.4894 20.7862 13.3566 
0.00441 24.5081 21.137 13.7831 
0.00442 24.7125 20.8816 13.359 
0.00443 26.3148 22.2998 14.2922 
0.00444 24.74 20.7521 13.183 
0.00445 25.6115 21.6347 13.8289 
0.00446 25.3736 21.2989 13.5342 
0.00447 25.76 22.5546 14.8959 
0.00448 25.8262 20.6623 12.5067 
0.00449 26.0205 22.0429 14.1235 
0.0045 26.9046 22.6547 14.4258 
0.00451 25.8705 22.5914 14.8831 
0.00452 27.0156 22.4129 14.0666 
0.00453 27.0871 22.1779 13.737 
