Time microphone-A_pFluct microphone-B_pFluct microphone-C_pFluct 
0.0024975 6.51363 4.2308 1.99524 
0.0025075 9.3255 5.3194 1.89115 
0.0025175 8.21591 4.64944 1.63323 
0.0025275 8.58101 4.49956 1.25743 
0.0025375 8.41785 5.0031 1.96875 
0.0025475 8.58458 4.50082 1.25737 
0.0025575 7.22772 3.94519 1.27 
0.0025675 7.34155 3.67617 0.876316 
0.0025775 8.19939 5.35163 2.51617 
0.0025875 6.70244 2.97707 0.338133 
0.0025975 9.28728 6.05359 2.82544 
0.0026075 6.92169 3.97964 1.47205 
0.0026175 6.76277 3.47776 0.930075 
0.0026275 7.35982 4.04058 1.32077 
0.0026375 8.66378 5.2633 2.16584 
0.0026475 6.95822 3.34351 0.661897 
0.0026575 6.22008 3.5616 1.31628 
0.0026675 6.71277 3.64203 1.16085 
0.0026775 6.5174 3.72443 1.36481 
0.0026875 7.36282 4.27897 1.61632 
0.0026975 7.21148 3.97593 1.31781 
0.0027075 8.01606 4.58953 1.66402 
0.0027175 6.2081 2.37964 -0.147736 
0.0027275 7.92805 4.66667 1.8059 
0.0027375 5.59759 2.16037 -0.103642 
0.0027475 8.02078 4.85133 1.98779 
0.0027575 5.70559 2.82427 0.666616 
0.0027675 5.95236 2.57765 0.231831 
0.0027775 6.1132 3.38266 1.15018 
0.0027875 6.55188 3.69556 1.31201 
0.0027975 5.52836 3.13903 1.15054 
0.0028075 5.12111 2.22318 0.222281 
0.0028175 7.20997 4.22659 1.63159 
0.0028275 5.56326 2.86425 0.790738 
0.0028375 5.38564 2.10802 -0.0579973 
0.0028475 7.09456 4.77933 2.37948 
0.0028575 4.06779 1.23406 -0.461684 
0.0028675 5.96885 3.72877 1.65636 
0.0028775 5.09798 2.53342 0.620799 
0.0028875 7.15705 4.27703 1.72227 
0.0028975 4.2694 1.72498 0.0448246 
0.0029075 5.44995 2.20434 0.0289648 
0.0029175 6.03546 2.93669 0.636599 
0.0029275 4.54895 2.33841 0.663382 
0.0029375 7.31714 3.75443 0.989385 
0.0029475 2.87669 0.658273 -0.55953 
0.0029575 4.10821 2.15048 0.658431 
0.0029675 7.43617 4.04936 1.29486 
0.0029775 3.17967 1.54974 0.39275 
0.0029875 4.37007 1.88581 0.193437 
0.0029975 4.79 2.81358 1.13007 
0.0030075 4.50873 2.45957 0.835511 
0.0030175 4.78631 1.6112 -0.364052 
0.0030275 3.64783 1.90051 0.586639 
0.0030375 3.46939 1.59774 0.302501 
0.0030475 4.75809 2.41097 0.645919 
0.0030575 4.39371 2.26651 0.655247 
0.0030675 3.80362 1.8875 0.489801 
0.0030775 4.4332 2.17338 0.518966 
0.0030875 5.67275 3.0065 0.912643 
0.0030975 3.81664 1.13629 -0.451511 
0.0031075 3.76668 2.19541 0.892344 
0.0031175 1.975 -0.511362 -1.54618 
0.0031275 4.61212 1.80715 -0.0291753 
0.0031375 4.44183 2.60684 1.0543 
0.0031475 3.54263 1.77341 0.483757 
